,Salón-Espacio,Pertenece,Edificio,Ubicacion,,Aforo clase,Aforo pruebas
031 Grado Central 3er. Subsuelo (Bandejas Metálicas - Nivel 1) 58 35 sillas con pupitres,31,Grado,Central,3er.,Subsuelo,58,35
102 Grado Central 1er. Piso 55 25 anfiteatro,102,Grado,Central,1er.,Piso,55,25
115 Grado Central 1er. Piso (Bandejas Metálicas - Nivel 4) 80 40 sillas SIN pupitres,115,Grado,Central,1er.,Piso,80,40
116 Grado Central 1er. Piso (Bandejas Metálicas - Nivel 5) 15 6 sillas con pupitres,116,Grado,Central,1er.,Piso,15,6
301 Grado Central 3er. Piso 127 76 sillas con pupitres,301,Grado,Central,3er.,Piso,127,76
303 Grado Central 3er. Piso 127 76 sillas con pupitres,303,Grado,Central,3er.,Piso,127,76
305 Grado Central 3er. Piso 59 35 sillas con pupitres,305,Grado,Central,3er.,Piso,59,35
307 Grado Central 3er. Piso 330 180 sillas con pupitres,307,Grado,Central,3er.,Piso,330,180
309 Grado Central 3er. Piso 32 16 16 mesas,309,Grado,Central,3er.,Piso,32,16
310 Grado Central 3er. Piso 32 16 16 mesas,310,Grado,Central,3er.,Piso,32,16
311 Grado Central 3er. Piso 49 29 sillas con pupitres,311,Grado,Central,3er.,Piso,49,29
312 Grado Central 3er. Piso 156 94 sillas con pupitres,312,Grado,Central,3er.,Piso,156,94
501 Grado Central 5to. Piso 130 62 anfiteatro,501,Grado,Central,5to.,Piso,130,62
502 - Azul Posgrado Central 5to. Piso 50 20 Híbrido,502,Posgrado,Central,5to.,Piso,50,20
601 Grado Central 6to. Piso 120 60 anfiteatro,601,Grado,Central,6to.,Piso,120,60
703 - Rojo Posgrado Central 7mo. Piso 40 20 Híbrido,703,-,Rojo,7mo.,Piso,40,20
705 - Marrón Posgrado Central 7mo. Piso 40 20 Híbrido,705,-,Marrón,7mo.,Piso,40,20
722 - Naranja Grado Central 7mo. Piso 20 10 sillas con pupitres,722,-,Naranja,7mo.,Piso,20,10
725 - Beige Posgrado Central 7mo. Piso 40 20 sillas con pupitres,725,-,Beige,7mo.,Piso,40,20
727 - Gris Posgrado Central 7mo. Piso 50 20 sillas con pupitres,727,-,Gris,7mo.,Piso,50,20
Actos FING Central 1er. Piso 248 128 anfiteatro,Actos,FING,Central,1er.,Piso,248,128
Hall 1º piso FING Central 1er. Piso 0 100 --,Hall,FING,Central,1er.,Piso,0,100
Piso Verde FING Central 3er. Subsuelo - Nivel 1 0 70 --,Piso,FING,Central,3er.,Subsuelo,0,70
A01 FADU Massera Planta Baja 242 145 sillas con pupitres,A01,FADU,Massera,Planta,Baja,242,145
A11 FADU Massera 1er. Piso 100-50 25 25 mesas,A11,FADU,Massera,1er.,Piso,25,25
A12 FING Massera 1er. Piso 196 119 sillas con pupitres,A12,FING,Massera,1er.,Piso,196,119
A21 FING Massera 2do. Piso 112 72 sillas con pupitres,A21,FING,Massera,2do.,Piso,112,72
A22 FCEA Massera 2do. Piso 207 124 sillas con pupitres,A22,FCEA,Massera,2do.,Piso,207,124
B01 FCEA Massera Planta Baja 377 223 sillas con pupitres,B01,FCEA,Massera,Planta,Baja,377,223
B11 FING Massera 1er. Piso 88 50 sillas con pupitres,B11,FING,Massera,1er.,Piso,88,50
B12 FADU Massera 1er. Piso 247 141 sillas con pupitres,B12,FADU,Massera,1er.,Piso,247,141
B21 FING Massera 2do. Piso 65 39 sillas con pupitres,B21,FING,Massera,2do.,Piso,65,39
B22 FING Massera 2do. Piso 54 32 sillas con pupitres,B22,FING,Massera,2do.,Piso,54,32
B23 FING Massera 2do. Piso 177 101 sillas con pupitres,B23,FING,Massera,2do.,Piso,177,101
C01 FADU-FCEA-FING Massera Planta Baja 328 -- anfiteatro,C01,FADU-FCEA-FING,Massera,Planta,Baja,328,194
C11 FADU Massera 1er. Piso 100-50 25 25 mesas,C11,FADU,Massera,1er.,Piso,25,25
C12 FCEA Massera 1er. Piso 215 131 sillas con pupitres,C12,FCEA,Massera,1er.,Piso,215,131
C21 FADU Massera 2do. Piso 100-50 25 25 mesas,C21,FADU,Massera,2do.,Piso,25,25
C22 FING Massera 2do. Piso 175 102 sillas con pupitres,C22,FING,Massera,2do.,Piso,175,102